flight_date,icao24,callsign,airline_prefix,groundspeed_kts,altitude_ft,track_deg,avg_lat,avg_lon,ping_count,corridor_code,month_code,airline,era5_u_kts,era5_v_kts,headwind_kts,tas_kts,daily_mean_gs,daily_sd_gs
2023-01-01,502d36,AFR63QU,AFR,516.3,32025,25.8,45.741,-0.495,162,C1,Jan,Air France,57.9550011328125,54.49176495605469,74.28377773393073,442.01622226606924,491.5571428571428,21.969134191926106
2023-01-01,3423c3,IBE34TB,IBE,516,34006,29.4,46.413,0.223,131,C1,Jan,Iberia,65.0393867578125,54.27536089355469,79.2135231062345,436.7864768937655,491.5571428571428,21.969134191926106
2023-01-01,346303,IBE33LC,IBE,510.7,36000,25.2,46.394,0.138,562,C1,Jan,Iberia,65.0393867578125,54.27536089355469,76.80223883641273,433.89776116358723,491.5571428571428,21.969134191926106
2023-01-01,3c6dd4,EWG7BP,EWG,481.9,38005,332.7,45.006,1.202,1784,C1,Jan,Eurowings,42.2524186328125,35.90379495605469,12.525677933835812,469.37432206616415,491.5571428571428,21.969134191926106
2023-01-01,342581,VLG6ZA,VLG,479.2,36002,356.6,45.156,1.224,1657,C1,Jan,Vueling,44.0064305078125,37.99949745605469,35.32274999428066,443.8772500057193,491.5571428571428,21.969134191926106
2023-01-01,3444ca,VLG46YA,VLG,469.2,35991,342.3,45.063,0.044,1842,C1,Jan,Vueling,46.0717605078125,45.23574558105469,29.08701402144154,440.11298597855847,491.5571428571428,21.969134191926106
2023-01-01,3c4903,EWG5YN,EWG,467.6,38001,352.7,44.982,1.184,1860,C1,Jan,Eurowings,42.2524186328125,35.90379495605469,30.243987648763838,437.3560123512362,491.5571428571428,21.969134191926106
2023-01-02,398564,AFR11FK,AFR,557.9,36000,22.4,46.147,-0.112,340,C1,Jan,Air France,58.0204918359375,91.15911388427735,106.39068782927046,451.5093121707295,505.2090909090909,32.73134444368133
2023-01-02,3423c3,IBE34TB,IBE,550.3,34003,26.3,45.482,-0.357,814,C1,Jan,Iberia,54.8313793359375,85.47186325927734,100.91857012843724,449.3814298715627,505.2090909090909,32.73134444368133
2023-01-02,346147,IBE33LC,IBE,540,36002,26.1,45.862,-0.199,1005,C1,Jan,Iberia,56.1677693359375,87.37773763427734,103.17801971746806,436.82198028253197,505.2090909090909,32.73134444368133
2023-01-02,3991e8,AFR63QU,AFR,527.2,35792,17.8,45.878,-0.642,654,C1,Jan,Air France,58.0280849609375,89.41649169677734,102.87498306894389,424.32501693105615,505.2090909090909,32.73134444368133
2023-01-02,3944ef,AFR13LP,AFR,504.8,35985,358.2,45.547,1.152,289,C1,Jan,Air France,50.4653324609375,81.56520044677734,79.9397985443717,424.8602014556283,505.2090909090909,32.73134444368133
