dep_airport,arr_airport,carrier_group,ac_category,route_type,gcd_km,freq_band,co2_per_km,annual_co2_kg,annual_co2_saving_final
AOI,TIA,regional-other,borderline,narrowbody,576,50-200,24.1,1710000,6020
BGY,TIA,regional-other,borderline,narrowbody,935,50-200,21.5,3610000,8820
BLQ,TIA,regional-other,borderline,narrowbody,768,50-200,22.4,2100000,6020
BRI,TIA,regional-other,borderline,narrowbody,249,50-200,33.5,1030000,6020
FLR,TIA,regional-other,borderline,narrowbody,745,50-200,22.6,1680000,4940
FRL,TIA,regional-other,borderline,narrowbody,695,<50,22.9,399000,1180
GOA,TIA,regional-other,borderline,narrowbody,945,50-200,21.4,2510000,6020
MXP,TIA,regional-other,borderline,narrowbody,1001,50-200,21.2,1930000,4410
PEG,TIA,regional-other,borderline,narrowbody,621,50-200,23.6,1790000,6020
PSA,TIA,regional-other,borderline,narrowbody,803,50-200,22.2,3520000,9680
RMI,TIA,regional-other,borderline,narrowbody,649,<50,23.4,318000,1080
STN,TIA,regional-other,borderline,narrowbody,1878,50-200,19.5,2120000,2800
VCE,TIA,regional-other,borderline,narrowbody,748,50-200,22.5,3290000,9570
VRN,TIA,regional-other,borderline,narrowbody,838,50-200,22,3590000,9570
AYT,BAH,narrowbody-mixed,narrowbody,narrowbody,2210,<50,21.9,921000,3660
AYT,BER,narrowbody-mixed,narrowbody,narrowbody,2185,<50,22,144000,645
AYT,BER,network-longhaul,widebody,widebody_nonoceanic,2185,<50,39.8,3560000,29000
AYT,BER,narrowbody-mixed,narrowbody,narrowbody,2185,<50,18.3,878000,4300
AYT,BER,network-longhaul,widebody,widebody_nonoceanic,2185,<50,57.2,2000000,11300
AYT,BEY,narrowbody-mixed,narrowbody,narrowbody,544,<50,28.6,218000,2800
AYT,BSL,narrowbody-mixed,narrowbody,narrowbody,2242,<50,21.9,343000,1290
AYT,BSL,network-longhaul,widebody,widebody_nonoceanic,2242,<50,39.6,266000,2520
AYT,BSL,network-longhaul,widebody,widebody_nonoceanic,2242,<50,50.8,114000,1260
AYT,BSL,network-longhaul,widebody,widebody_nonoceanic,2242,<50,57.1,128000,1260
AYT,CGN,narrowbody-mixed,narrowbody,narrowbody,2432,<50,18.1,176000,860
AYT,DRS,narrowbody-mixed,narrowbody,narrowbody,2078,<50,18.4,153000,860
AYT,DUS,narrowbody-mixed,narrowbody,narrowbody,2478,<50,21.6,536000,1940
AYT,DUS,network-longhaul,widebody,widebody_nonoceanic,2478,<50,39.1,1260000,8810
AYT,DUS,narrowbody-mixed,narrowbody,narrowbody,2478,<50,18,982000,4300
AYT,DUS,network-longhaul,widebody,widebody_nonoceanic,2478,<50,50.3,249000,1260
AYT,DUS,network-longhaul,widebody,widebody_nonoceanic,2478,50-200,56.5,19500000,98200
AYT,FRA,narrowbody-mixed,narrowbody,narrowbody,2297,<50,18.2,334000,1500
AYT,GOJ,narrowbody-mixed,narrowbody,narrowbody,2358,<50,21.7,103000,430
AYT,GOJ,narrowbody-mixed,narrowbody,narrowbody,2358,<50,18.1,128000,645
AYT,GOJ,network-longhaul,widebody,widebody_nonoceanic,2358,<50,50.6,835000,5040
AYT,HAJ,narrowbody-mixed,narrowbody,narrowbody,2385,<50,21.7,2430000,9240
AYT,HAJ,network-longhaul,widebody,widebody_nonoceanic,2385,<50,39.3,93800,1260
AYT,HAJ,narrowbody-mixed,narrowbody,narrowbody,2385,<50,18.1,259000,1080
AYT,HAM,narrowbody-mixed,narrowbody,narrowbody,2453,<50,21.6,1430000,5380
AYT,HAM,network-longhaul,widebody,widebody_nonoceanic,2453,<50,39.2,1630000,12600
AYT,HAM,narrowbody-mixed,narrowbody,narrowbody,2453,<50,18,177000,860
AYT,HER,narrowbody-mixed,narrowbody,narrowbody,533,<50,28.8,15400,215
AYT,HER,network-longhaul,widebody,widebody_nonoceanic,533,<50,54.6,146000,3780
AYT,HER,narrowbody-mixed,narrowbody,narrowbody,533,<50,24.7,513000,7520
AYT,KGD,narrowbody-mixed,narrowbody,narrowbody,2145,50-200,22,4250000,17600
AYT,KGD,narrowbody-mixed,narrowbody,narrowbody,2145,<50,18.3,785000,3870
AYT,KJA,narrowbody-mixed,narrowbody,narrowbody,4976,<50,7.48,633000,3220
AYT,KJA,network-longhaul,widebody,widebody_nonoceanic,4976,50-200,37.8,9790000,36500
AYT,KUF,narrowbody-mixed,narrowbody,narrowbody,2372,50-200,21.7,4640000,17600
AYT,KUF,narrowbody-mixed,narrowbody,narrowbody,2372,<50,18.1,42900,215
AYT,KZN,narrowbody-mixed,narrowbody,narrowbody,2501,<50,8.38,482000,4520
AYT,KZN,network-longhaul,widebody,widebody_nonoceanic,2501,<50,50.3,252000,1260
AYT,LED,narrowbody-mixed,narrowbody,narrowbody,2546,<50,8.34,425000,3870
AYT,LED,network-longhaul,widebody,widebody_nonoceanic,2546,50-200,50.2,8570000,47800
AYT,LEJ,narrowbody-mixed,narrowbody,narrowbody,2177,<50,22,239000,1080
AYT,LEJ,network-longhaul,widebody,widebody_nonoceanic,2177,50-200,39.8,5110000,41500
AYT,LEJ,narrowbody-mixed,narrowbody,narrowbody,2177,<50,18.3,239000,1080
AYT,LEJ,network-longhaul,widebody,widebody_nonoceanic,2177,<50,51,111000,1260
AYT,LEJ,network-longhaul,widebody,widebody_nonoceanic,2177,<50,57.2,125000,1260
AYT,MUC,narrowbody-mixed,narrowbody,narrowbody,2000,<50,22.2,133000,645
AYT,MUC,network-longhaul,widebody,widebody_nonoceanic,2000,50-200,40.2,4670000,40300
AYT,MUC,narrowbody-mixed,narrowbody,narrowbody,2000,<50,18.5,554000,3010
AYT,MUC,network-longhaul,widebody,widebody_nonoceanic,2000,<50,51.4,309000,2520
AYT,MUC,network-longhaul,widebody,widebody_nonoceanic,2000,<50,57.8,231000,1260
AYT,NUE,narrowbody-mixed,narrowbody,narrowbody,2113,<50,22.1,1540000,6450
AYT,NUE,network-longhaul,widebody,widebody_nonoceanic,2113,<50,39.9,84400,1260
AYT,NUE,narrowbody-mixed,narrowbody,narrowbody,2113,<50,18.3,814000,4080
AYT,OVB,narrowbody-mixed,narrowbody,narrowbody,4355,<50,7.56,1480000,8820
AYT,OVB,network-longhaul,widebody,widebody_nonoceanic,4355,50-200,38.1,9950000,42800
AYT,OVB,narrowbody-mixed,narrowbody,narrowbody,4355,<50,17.4,2120000,5380
AYT,REN,narrowbody-mixed,narrowbody,narrowbody,2543,50-200,8.34,1210000,11200
AYT,REN,narrowbody-mixed,narrowbody,narrowbody,2543,<50,18,549000,2360
AYT,SKP,narrowbody-mixed,narrowbody,narrowbody,967,<50,24.2,328000,2800
AYT,STR,narrowbody-mixed,narrowbody,narrowbody,2182,<50,22,623000,2580
AYT,STR,network-longhaul,widebody,widebody_nonoceanic,2182,<50,39.8,3730000,30200
AYT,STR,narrowbody-mixed,narrowbody,narrowbody,2182,50-200,18.3,1990000,9890
AYT,STR,network-longhaul,widebody,widebody_nonoceanic,2182,<50,51,334000,2520
AYT,STR,network-longhaul,widebody,widebody_nonoceanic,2182,<50,57.2,125000,1260
AYT,SVO,narrowbody-mixed,narrowbody,narrowbody,2177,50-200,22,5210000,21300
AYT,SVO,network-longhaul,widebody,widebody_nonoceanic,2177,<50,39.8,2510000,20100
AYT,SVO,narrowbody-mixed,narrowbody,narrowbody,2177,<50,18.3,159000,860
AYT,SVO,network-longhaul,widebody,widebody_nonoceanic,2177,50-200,51,18300000,116000
AYT,SVX,narrowbody-mixed,narrowbody,narrowbody,3127,<50,7.95,1040000,8170
AYT,SVX,network-longhaul,widebody,widebody_nonoceanic,3127,50-200,49.7,9640000,44100
AYT,TLV,narrowbody-mixed,narrowbody,narrowbody,658,<50,26.9,212000,2360
AYT,TLV,network-longhaul,widebody,widebody_nonoceanic,658,<50,50.9,201000,3780
AYT,TLV,narrowbody-mixed,narrowbody,narrowbody,658,50-200,22.9,1920000,24900
AYT,UFA,narrowbody-mixed,narrowbody,narrowbody,2736,50-200,8.19,3560000,31200
AYT,UFA,narrowbody-mixed,narrowbody,narrowbody,2736,<50,17.9,1370000,5380
AYT,ZRH,narrowbody-mixed,narrowbody,narrowbody,2165,<50,22,1140000,4730
AYT,ZRH,network-longhaul,widebody,widebody_nonoceanic,2165,<50,39.8,1900000,15100
AYT,ZRH,narrowbody-mixed,narrowbody,narrowbody,2165,<50,18.3,792000,3870
AYT,ZRH,network-longhaul,widebody,widebody_nonoceanic,2165,<50,51,110000,1260
BER,AYT,narrowbody-mixed,narrowbody,narrowbody,2185,<50,22,144000,645
BER,AYT,network-longhaul,widebody,widebody_nonoceanic,2185,<50,39.8,3560000,29000
BER,AYT,narrowbody-mixed,narrowbody,narrowbody,2185,<50,18.3,878000,4300
BER,AYT,network-longhaul,widebody,widebody_nonoceanic,2185,<50,57.2,2000000,11300
BSL,AYT,narrowbody-mixed,narrowbody,narrowbody,2242,<50,21.9,343000,1290
BSL,AYT,network-longhaul,widebody,widebody_nonoceanic,2242,<50,39.6,266000,2520
BSL,AYT,network-longhaul,widebody,widebody_nonoceanic,2242,<50,50.8,114000,1260
BSL,AYT,network-longhaul,widebody,widebody_nonoceanic,2242,<50,57.1,128000,1260
CGN,AYT,narrowbody-mixed,narrowbody,narrowbody,2432,<50,18.1,220000,1080
DRS,AYT,narrowbody-mixed,narrowbody,narrowbody,2078,<50,18.4,153000,860
DUS,AYT,narrowbody-mixed,narrowbody,narrowbody,2478,<50,21.6,536000,1940
DUS,AYT,network-longhaul,widebody,widebody_nonoceanic,2478,<50,39.1,1260000,8810
DUS,AYT,narrowbody-mixed,narrowbody,narrowbody,2478,<50,18,982000,4300
DUS,AYT,network-longhaul,widebody,widebody_nonoceanic,2478,<50,50.3,249000,1260
DUS,AYT,network-longhaul,widebody,widebody_nonoceanic,2478,50-200,56.5,19500000,98200
FRA,AYT,narrowbody-mixed,narrowbody,narrowbody,2297,<50,18.2,334000,1500
HAJ,AYT,narrowbody-mixed,narrowbody,narrowbody,2385,<50,21.7,2430000,9240
HAJ,AYT,network-longhaul,widebody,widebody_nonoceanic,2385,<50,39.3,93800,1260
HAJ,AYT,narrowbody-mixed,narrowbody,narrowbody,2385,<50,18.1,259000,1080
HAM,AYT,narrowbody-mixed,narrowbody,narrowbody,2453,<50,21.6,1430000,5380
HAM,AYT,network-longhaul,widebody,widebody_nonoceanic,2453,<50,39.2,1630000,12600
HAM,AYT,narrowbody-mixed,narrowbody,narrowbody,2453,<50,18,177000,860
HER,AYT,narrowbody-mixed,narrowbody,narrowbody,533,<50,28.8,15400,215
HER,AYT,network-longhaul,widebody,widebody_nonoceanic,533,<50,54.6,146000,3780
HER,AYT,narrowbody-mixed,narrowbody,narrowbody,533,<50,24.7,513000,7520
LEJ,AYT,narrowbody-mixed,narrowbody,narrowbody,2177,<50,22,239000,1080
LEJ,AYT,network-longhaul,widebody,widebody_nonoceanic,2177,50-200,39.8,5110000,41500
LEJ,AYT,narrowbody-mixed,narrowbody,narrowbody,2177,<50,18.3,239000,1080
LEJ,AYT,network-longhaul,widebody,widebody_nonoceanic,2177,<50,51,111000,1260
LEJ,AYT,network-longhaul,widebody,widebody_nonoceanic,2177,<50,57.2,125000,1260
MUC,AYT,narrowbody-mixed,narrowbody,narrowbody,2000,<50,22.2,133000,645
MUC,AYT,network-longhaul,widebody,widebody_nonoceanic,2000,50-200,40.2,4670000,40300
MUC,AYT,narrowbody-mixed,narrowbody,narrowbody,2000,<50,18.5,554000,3010
MUC,AYT,network-longhaul,widebody,widebody_nonoceanic,2000,<50,51.4,309000,2520
MUC,AYT,network-longhaul,widebody,widebody_nonoceanic,2000,<50,57.8,231000,1260
NUE,AYT,narrowbody-mixed,narrowbody,narrowbody,2113,<50,22.1,1540000,6450
NUE,AYT,network-longhaul,widebody,widebody_nonoceanic,2113,<50,39.9,84400,1260
NUE,AYT,narrowbody-mixed,narrowbody,narrowbody,2113,<50,18.3,814000,4080
STR,AYT,narrowbody-mixed,narrowbody,narrowbody,2182,<50,22,623000,2580
STR,AYT,network-longhaul,widebody,widebody_nonoceanic,2182,<50,39.8,3730000,30200
STR,AYT,narrowbody-mixed,narrowbody,narrowbody,2182,50-200,18.3,1990000,9890
STR,AYT,network-longhaul,widebody,widebody_nonoceanic,2182,<50,51,334000,2520
STR,AYT,network-longhaul,widebody,widebody_nonoceanic,2182,<50,57.2,125000,1260
TZX,BAH,narrowbody-mixed,narrowbody,narrowbody,1915,<50,22.3,811000,3660
ZRH,AYT,narrowbody-mixed,narrowbody,narrowbody,2165,<50,22,1140000,4730
ZRH,AYT,network-longhaul,widebody,widebody_nonoceanic,2165,<50,39.8,1900000,15100
ZRH,AYT,narrowbody-mixed,narrowbody,narrowbody,2165,<50,18.3,792000,3870
ZRH,AYT,network-longhaul,widebody,widebody_nonoceanic,2165,<50,51,110000,1260
ATH,NLU,network-longhaul,widebody,south_atlantic,11259,<50,13.8,311000,127
MAD,ATH,network-longhaul,widebody,widebody_nonoceanic,2375,<50,42.7,203000,1260
MAD,AZS,network-longhaul,widebody,south_atlantic,6635,<50,12.6,250000,190
MAD,AZS,network-longhaul,widebody,south_atlantic,6635,<50,42.1,1400000,317
MAD,CUN,network-longhaul,widebody,south_atlantic,7955,<50,12.4,98300,63
MAD,CUN,network-longhaul,widebody,south_atlantic,7955,50-200,14.1,18300000,10300
MAD,HAV,network-longhaul,widebody,south_atlantic,7456,<50,12.4,1570000,1080
MAD,HAV,network-longhaul,widebody,south_atlantic,7456,50-200,14.2,17400000,10500
MAD,PUJ,network-longhaul,widebody,south_atlantic,6564,<50,12.6,909000,698
MAD,PUJ,network-longhaul,widebody,south_atlantic,6564,50-200,42.1,34300000,7870
MAD,SDQ,network-longhaul,widebody,south_atlantic,6687,<50,12.6,839000,635
MAD,SDQ,network-longhaul,widebody,south_atlantic,6687,50-200,42.1,26400000,5960
MAD,SSA,network-longhaul,widebody,south_atlantic,6928,<50,12.5,86500,63
MAD,STI,network-longhaul,widebody,south_atlantic,6700,<50,42.1,5070000,1140
SVQ,BUD,network-longhaul,widebody,widebody_nonoceanic,2327,<50,42.8,199000,1260
VIE,SVQ,network-longhaul,widebody,widebody_nonoceanic,2169,<50,43.1,93500,1260
CDG,EVN,narrowbody-mixed,narrowbody,narrowbody,3409,50-200,6.26,3030000,27700
DUS,EVN,narrowbody-mixed,narrowbody,narrowbody,3129,50-200,6.35,1110000,11000
IST,EVN,narrowbody-mixed,narrowbody,narrowbody,1321,<50,16.7,111000,1080
IST,EVN,narrowbody-mixed,narrowbody,narrowbody,1321,50-200,18.3,3920000,31600
IST,EVN,regional-other,borderline,narrowbody,1321,<50,20.3,643000,1180
LCA,EVN,narrowbody-mixed,narrowbody,narrowbody,1114,50-200,18.8,1800000,16800
LCA,EVN,regional-other,borderline,narrowbody,1114,<50,20.8,69500,108
LYS,EVN,narrowbody-mixed,narrowbody,narrowbody,3225,50-200,6.31,1690000,16300
MXP,EVN,narrowbody-mixed,narrowbody,narrowbody,2942,50-200,17.5,6020000,22800
MXP,EVN,regional-other,borderline,narrowbody,2942,<50,7.09,20800,0
SAW,AUH,narrowbody-mixed,narrowbody,narrowbody,2976,50-200,17.5,9940000,37400
TZX,AUH,narrowbody-mixed,narrowbody,narrowbody,2300,50-200,17.5,3130000,15300
AGP,CMN,narrowbody-mixed,narrowbody,narrowbody,462,50-200,24.3,1020000,17800
AMS,FEZ,narrowbody-mixed,narrowbody,narrowbody,2184,50-200,17.6,3730000,18900
AMS,NDR,narrowbody-mixed,narrowbody,narrowbody,2020,50-200,17.8,6680000,36300
AMS,NDR,narrowbody-mixed,narrowbody,narrowbody,2020,<50,22.2,493000,2150
AMS,TNG,narrowbody-mixed,narrowbody,narrowbody,2025,200-500,17.8,7840000,42600
BCN,CMN,narrowbody-mixed,narrowbody,narrowbody,1223,50-200,18.6,2470000,21300
BCN,CMN,narrowbody-mixed,narrowbody,narrowbody,1223,<50,23.2,455000,3220
BCN,FEZ,narrowbody-mixed,narrowbody,narrowbody,1025,50-200,19.1,2230000,22400
BCN,NDR,narrowbody-mixed,narrowbody,narrowbody,829,50-200,20.2,3320000,38900
BCN,NDR,narrowbody-mixed,narrowbody,narrowbody,829,<50,25.2,313000,3010
BCN,OUD,narrowbody-mixed,narrowbody,narrowbody,801,<50,20.4,636000,7520
BCN,TNG,narrowbody-mixed,narrowbody,narrowbody,929,200-500,19.5,7300000,78700
BGY,CMN,narrowbody-mixed,narrowbody,narrowbody,2007,200-500,17.8,11700000,64100
BGY,CMN,narrowbody-mixed,narrowbody,narrowbody,2007,<50,22.2,1740000,7520
BIO,TNG,narrowbody-mixed,narrowbody,narrowbody,880,50-200,19.8,1470000,16300
BLQ,CMN,narrowbody-mixed,narrowbody,narrowbody,2039,50-200,17.7,6660000,35900
BLQ,CMN,narrowbody-mixed,narrowbody,narrowbody,2039,<50,22.2,1220000,5380
BOD,FEZ,narrowbody-mixed,narrowbody,narrowbody,1265,50-200,18.5,2590000,21700
BRU,CMN,narrowbody-mixed,narrowbody,narrowbody,2181,50-200,17.6,6140000,31400
BRU,CMN,narrowbody-mixed,narrowbody,narrowbody,2181,<50,22,623000,2580
BRU,FEZ,narrowbody-mixed,narrowbody,narrowbody,2036,50-200,17.8,4160000,22600
BRU,NDR,narrowbody-mixed,narrowbody,narrowbody,1868,200-500,17.8,8000000,46900
BRU,NDR,narrowbody-mixed,narrowbody,narrowbody,1868,50-200,22.3,3870000,18300
BRU,OUD,narrowbody-mixed,narrowbody,narrowbody,1864,50-200,17.8,3890000,22800
BRU,TNG,narrowbody-mixed,narrowbody,narrowbody,1880,200-500,17.8,14700000,85600
BSL,CMN,narrowbody-mixed,narrowbody,narrowbody,2025,50-200,17.8,4640000,25200
BSL,CMN,narrowbody-mixed,narrowbody,narrowbody,2025,<50,22.2,2110000,9240
BSL,FEZ,narrowbody-mixed,narrowbody,narrowbody,1843,<50,17.9,98700,645
BSL,NDR,narrowbody-mixed,narrowbody,narrowbody,1651,<50,17.9,88900,645
CDG,FEZ,narrowbody-mixed,narrowbody,narrowbody,1786,50-200,17.9,4630000,28400
CDG,OUD,narrowbody-mixed,narrowbody,narrowbody,1621,50-200,18,4080000,27300
CDG,TNG,narrowbody-mixed,narrowbody,narrowbody,1629,50-200,18,3860000,25800
CGN,NDR,narrowbody-mixed,narrowbody,narrowbody,1942,50-200,17.8,5120000,29000
CGN,NDR,narrowbody-mixed,narrowbody,narrowbody,1942,<50,22.3,1040000,4730
CGN,TNG,narrowbody-mixed,narrowbody,narrowbody,1978,<50,17.8,563000,3220
CIY,CMN,narrowbody-mixed,narrowbody,narrowbody,2049,<50,17.7,72700,430
CTA,CMN,narrowbody-mixed,narrowbody,narrowbody,2094,50-200,17.7,3670000,19400
CTA,CMN,narrowbody-mixed,narrowbody,narrowbody,2094,<50,22.1,832000,3440
CUF,CMN,narrowbody-mixed,narrowbody,narrowbody,1801,50-200,17.9,3930000,23900
CUF,CMN,narrowbody-mixed,narrowbody,narrowbody,1801,<50,22.3,523000,2580
GVA,CMN,narrowbody-mixed,narrowbody,narrowbody,1841,50-200,17.9,2400000,14200
GVA,CMN,narrowbody-mixed,narrowbody,narrowbody,1841,<50,22.3,781000,3660
HHN,NDR,narrowbody-mixed,narrowbody,narrowbody,1857,<50,17.9,829000,4940
HHN,NDR,narrowbody-mixed,narrowbody,narrowbody,1857,<50,22.3,994000,4730
IST,FEZ,narrowbody-mixed,narrowbody,narrowbody,3056,50-200,6.37,1270000,12700
LGW,TNG,narrowbody-mixed,narrowbody,narrowbody,1772,50-200,17.9,4980000,30700
LIL,OUD,narrowbody-mixed,narrowbody,narrowbody,1798,<50,17.9,386000,2360
LYS,CMN,narrowbody-mixed,narrowbody,narrowbody,1745,50-200,17.9,5430000,34000
LYS,CMN,narrowbody-mixed,narrowbody,narrowbody,1745,50-200,22.4,2660000,13300
LYS,FEZ,narrowbody-mixed,narrowbody,narrowbody,1563,50-200,18,4220000,29200
LYS,OUD,narrowbody-mixed,narrowbody,narrowbody,1350,<50,18.3,296000,2360
LYS,TNG,narrowbody-mixed,narrowbody,narrowbody,1442,50-200,18.1,2270000,17000
MAD,NDR,narrowbody-mixed,narrowbody,narrowbody,613,<50,22.1,379000,5380
MAD,TNG,narrowbody-mixed,narrowbody,narrowbody,568,50-200,22.6,2100000,31800
MPL,CMN,narrowbody-mixed,narrowbody,narrowbody,1511,50-200,18,3620000,26000
MPL,FEZ,narrowbody-mixed,narrowbody,narrowbody,1321,200-500,18.3,6180000,49900
MPL,NDR,narrowbody-mixed,narrowbody,narrowbody,1127,50-200,18.8,2750000,25400
MPL,NDR,narrowbody-mixed,narrowbody,narrowbody,1127,<50,23.5,53000,430
MPL,OUD,narrowbody-mixed,narrowbody,narrowbody,1099,50-200,18.9,1160000,11000
MPL,TNG,narrowbody-mixed,narrowbody,narrowbody,1213,<50,18.6,631000,5380
MRS,FEZ,narrowbody-mixed,narrowbody,narrowbody,1374,50-200,18.2,3660000,28600
MRS,OUD,narrowbody-mixed,narrowbody,narrowbody,1139,<50,18.8,748000,6880
NAP,CMN,narrowbody-mixed,narrowbody,narrowbody,2102,50-200,17.7,6500000,34200
NAP,CMN,narrowbody-mixed,narrowbody,narrowbody,2102,<50,22.1,232000,1080
NCE,FEZ,narrowbody-mixed,narrowbody,narrowbody,1506,50-200,18,1490000,10800
NRN,FEZ,narrowbody-mixed,narrowbody,narrowbody,2158,50-200,17.6,2430000,12500
PMI,NDR,narrowbody-mixed,narrowbody,narrowbody,718,50-200,21,905000,11800
PMI,NDR,narrowbody-mixed,narrowbody,narrowbody,718,<50,26.2,433000,4520
PMI,TNG,narrowbody-mixed,narrowbody,narrowbody,871,<50,19.9,398000,4520
PSA,CMN,narrowbody-mixed,narrowbody,narrowbody,1930,50-200,17.8,1820000,10300
PSA,CMN,narrowbody-mixed,narrowbody,narrowbody,1930,<50,22.3,516000,2360
RMU,CMN,narrowbody-mixed,narrowbody,narrowbody,763,<50,20.6,662000,8170
RMU,CMN,narrowbody-mixed,narrowbody,narrowbody,763,<50,25.8,216000,2150
RMU,OUD,narrowbody-mixed,narrowbody,narrowbody,343,50-200,27.1,891000,18700
SAW,CMN,narrowbody-mixed,narrowbody,narrowbody,3346,200-500,6.27,7290000,67900
SAW,TNG,narrowbody-mixed,narrowbody,narrowbody,3103,50-200,6.36,1830000,18300
SXB,FEZ,narrowbody-mixed,narrowbody,narrowbody,1930,<50,17.8,1620000,9240
SXB,NDR,narrowbody-mixed,narrowbody,narrowbody,1741,<50,17.9,1460000,9240
SXB,NDR,narrowbody-mixed,narrowbody,narrowbody,1741,<50,22.4,468000,2360
TLS,CMN,narrowbody-mixed,narrowbody,narrowbody,1379,50-200,18.2,2360000,18500
TLS,CMN,narrowbody-mixed,narrowbody,narrowbody,1379,<50,22.8,157000,1080
TLS,FEZ,narrowbody-mixed,narrowbody,narrowbody,1210,50-200,18.6,2540000,22100
TLS,OUD,narrowbody-mixed,narrowbody,narrowbody,1022,<50,19.1,234000,2360
VCE,CMN,narrowbody-mixed,narrowbody,narrowbody,2168,50-200,17.6,3630000,18500
VCE,CMN,narrowbody-mixed,narrowbody,narrowbody,2168,<50,22,572000,2360
VLC,TNG,narrowbody-mixed,narrowbody,narrowbody,636,50-200,21.8,929000,13100
LIS,AZS,network-longhaul,widebody,south_atlantic,6156,<50,42.1,2590000,635
LIS,CUN,network-longhaul,widebody,south_atlantic,7524,<50,12.4,372000,254
LIS,CUN,network-longhaul,widebody,south_atlantic,7524,<50,14.2,2770000,1650
LIS,PUJ,network-longhaul,widebody,south_atlantic,6080,<50,12.7,309000,254
LIS,PUJ,network-longhaul,widebody,south_atlantic,6080,<50,42.1,11000000,2730
LIS,VRA,network-longhaul,widebody,south_atlantic,6936,<50,42,6410000,1400
MAD,CUN,network-longhaul,widebody,south_atlantic,7955,<50,12.4,98300,63
FCO,CTU,network-longhaul,widebody,widebody_nonoceanic,7928,<50,13,309000,2520
FCO,CTU,network-longhaul,widebody,widebody_nonoceanic,7928,<50,14.1,1120000,7550
FCO,TFU,narrowbody-mixed,narrowbody,narrowbody,7984,<50,8.31,796000,2360
FCO,TFU,network-longhaul,widebody,widebody_nonoceanic,7984,50-200,13,12700000,85600
HEL,CTU,narrowbody-mixed,narrowbody,narrowbody,6495,<50,7.33,143000,645
HEL,CTU,network-longhaul,widebody,widebody_nonoceanic,6495,<50,37.1,2170000,6300
IST,TFU,narrowbody-mixed,narrowbody,narrowbody,6719,50-200,7.3,2650000,10500
IST,TFU,network-longhaul,widebody,widebody_nonoceanic,6719,<50,37,1240000,3780
IST,TFU,network-longhaul,widebody,widebody_nonoceanic,6719,<50,42.1,3670000,8810
ACE,KTW,narrowbody-mixed,narrowbody,narrowbody,3627,<50,17.6,255000,860
ACE,WAW,narrowbody-mixed,narrowbody,narrowbody,3832,<50,17.5,1550000,4520
ADB,KTW,narrowbody-mixed,narrowbody,narrowbody,1495,<50,19,114000,860
ADB,WAW,narrowbody-mixed,narrowbody,narrowbody,1613,<50,18.8,912000,5800
AGP,WAW,narrowbody-mixed,narrowbody,narrowbody,2628,<50,18,1180000,4940
AYT,GDN,narrowbody-mixed,narrowbody,narrowbody,2160,<50,18.3,672000,3220
AYT,KTW,narrowbody-mixed,narrowbody,narrowbody,1775,<50,18.7,696000,4080
AYT,SZZ,narrowbody-mixed,narrowbody,narrowbody,2222,<50,18.2,729000,3440
AYT,WAW,narrowbody-mixed,narrowbody,narrowbody,1862,50-200,18.6,2840000,16100
AYT,WRO,narrowbody-mixed,narrowbody,narrowbody,1925,<50,18.5,143000,860
BCN,WAW,narrowbody-mixed,narrowbody,narrowbody,1868,<50,18.6,1250000,7100
BJV,KTW,narrowbody-mixed,narrowbody,narrowbody,1619,<50,18.8,488000,3220
BJV,POZ,narrowbody-mixed,narrowbody,narrowbody,1885,<50,18.6,490000,2800
BJV,WAW,narrowbody-mixed,narrowbody,narrowbody,1735,50-200,18.7,2340000,14200
BJV,WRO,narrowbody-mixed,narrowbody,narrowbody,1757,<50,18.7,1350000,7960
CFU,KTW,narrowbody-mixed,narrowbody,narrowbody,1209,<50,19.6,474000,3870
CFU,WAW,narrowbody-mixed,narrowbody,narrowbody,1397,50-200,19.2,2380000,17400
CHQ,KTW,narrowbody-mixed,narrowbody,narrowbody,1711,<50,18.7,256000,1500
CHQ,WAW,narrowbody-mixed,narrowbody,narrowbody,1865,<50,18.6,866000,4940
CHQ,WRO,narrowbody-mixed,narrowbody,narrowbody,1825,<50,18.6,612000,3440
CTA,WAW,narrowbody-mixed,narrowbody,narrowbody,1695,<50,18.7,127000,860
FAO,WAW,narrowbody-mixed,narrowbody,narrowbody,2810,<50,17.9,855000,3220
FNC,KTW,narrowbody-mixed,narrowbody,narrowbody,3523,<50,17.6,1610000,5160
FNC,VNO,narrowbody-mixed,narrowbody,narrowbody,4075,<50,17.5,2710000,7520
FNC,WAW,narrowbody-mixed,narrowbody,narrowbody,3711,<50,17.6,1110000,3220
FUE,KTW,narrowbody-mixed,narrowbody,narrowbody,3684,<50,17.6,1100000,3220
FUE,WAW,narrowbody-mixed,narrowbody,narrowbody,3890,50-200,17.5,3820000,11000
GPA,WAW,narrowbody-mixed,narrowbody,narrowbody,1556,<50,18.9,618000,4080
HER,KTW,narrowbody-mixed,narrowbody,narrowbody,1751,<50,18.7,654000,3870
HER,POZ,narrowbody-mixed,narrowbody,narrowbody,2008,<50,18.5,741000,3870
HER,WAW,narrowbody-mixed,narrowbody,narrowbody,1897,<50,18.6,1200000,6660
IST,WAW,narrowbody-mixed,narrowbody,narrowbody,1344,<50,19.3,311000,2360
KGS,WAW,narrowbody-mixed,narrowbody,narrowbody,1773,<50,18.7,165000,1080
