Carrier Code,Carrier Name,Dep Airport Code,Arr Airport Code,CalculatorName,ac_category,Dep Region Code,Arr Region Code,annual_flights,annual_co2_kg,mean_co2_flight,gcd_km,pct_affected,saving_per_flight_kg,annual_affected_flights,annual_co2_saving_kg,is_transatlantic,is_widebody,pct_affected_corr,saving_per_flight_corr,annual_affected_corr,annual_co2_saving_corr,is_south_atlantic,annual_co2_saving_final
2B,Albawings,AOI,TIA,B732,borderline,EU1,EU2,123,1710225.40803,13904.3,576,0.455,107.5,56,6020,FALSE,FALSE,0.455,107.5,56,6020,FALSE,6020
2B,Albawings,BGY,TIA,B732,borderline,EU1,EU2,180,3611569.6062,20064.3,935,0.455,107.5,82,8815,FALSE,FALSE,0.455,107.5,82,8815,FALSE,8815
2B,Albawings,BLQ,TIA,B732,borderline,EU1,EU2,122,2097931.37726,17196.2,768,0.455,107.5,56,6020,FALSE,FALSE,0.455,107.5,56,6020,FALSE,6020
2B,Albawings,BRI,TIA,B732,borderline,EU1,EU2,124,1034514.332728,8342.9,249,0.455,107.5,56,6020,FALSE,FALSE,0.455,107.5,56,6020,FALSE,6020
2B,Albawings,FLR,TIA,B732,borderline,EU1,EU2,100,1680130.932,16801.3,745,0.455,107.5,46,4945,FALSE,FALSE,0.455,107.5,46,4945,FALSE,4945
2B,Albawings,FRL,TIA,B732,borderline,EU1,EU2,25,398604.93925,15944.2,695,0.455,107.5,11,1182,FALSE,FALSE,0.455,107.5,11,1182,FALSE,1182
2B,Albawings,GOA,TIA,B732,borderline,EU1,EU2,124,2509266.36964,20236,945,0.455,107.5,56,6020,FALSE,FALSE,0.455,107.5,56,6020,FALSE,6020
2B,Albawings,MXP,TIA,B732,borderline,EU1,EU2,91,1929027.8853299995,21198.1,1001,0.455,107.5,41,4408,FALSE,FALSE,0.455,107.5,41,4408,FALSE,4408
2B,Albawings,PEG,TIA,B732,borderline,EU1,EU2,122,1790432.00596,14675.7,621,0.455,107.5,56,6020,FALSE,FALSE,0.455,107.5,56,6020,FALSE,6020
2B,Albawings,PSA,TIA,B732,borderline,EU1,EU2,198,3523857.7076999997,17797.3,803,0.455,107.5,90,9675,FALSE,FALSE,0.455,107.5,90,9675,FALSE,9675
2B,Albawings,RMI,TIA,B732,borderline,EU1,EU2,21,318268.74996,15155.7,649,0.455,107.5,10,1075,FALSE,FALSE,0.455,107.5,10,1075,FALSE,1075
2B,Albawings,STN,TIA,B732,borderline,EU1,EU2,58,2120377.6804599995,36558.2,1878,0.455,107.5,26,2795,FALSE,FALSE,0.455,107.5,26,2795,FALSE,2795
2B,Albawings,VCE,TIA,B732,borderline,EU1,EU2,195,3286283.52585,16852.7,748,0.455,107.5,89,9568,FALSE,FALSE,0.455,107.5,89,9568,FALSE,9568
2B,Albawings,VRN,TIA,B732,borderline,EU1,EU2,195,3587680.8747,18398.4,838,0.455,107.5,89,9568,FALSE,FALSE,0.455,107.5,89,9568,FALSE,9568
2S,Southwind Airlines,AYT,BAH,A321,narrowbody,EU1,ME1,19,920704.8842,48458.2,2210,0.91,215,17,3655,FALSE,FALSE,0.91,215,17,3655,FALSE,3655
2S,Southwind Airlines,AYT,BER,A321,narrowbody,EU1,EU1,3,143944.73325,47981.6,2185,0.91,215,3,645,FALSE,FALSE,0.91,215,3,645,FALSE,645
2S,Southwind Airlines,AYT,BER,A332,widebody,EU1,EU1,41,3561156.39218,86857.5,2185,0.56,1259,23,28957,FALSE,TRUE,0.56,1259,23,28957,FALSE,28957
2S,Southwind Airlines,AYT,BER,B738,narrowbody,EU1,EU1,22,878203.16848,39918.3,2185,0.91,215,20,4300,FALSE,FALSE,0.91,215,20,4300,FALSE,4300
2S,Southwind Airlines,AYT,BER,B77W,widebody,EU1,EU1,16,2000638.6064,125039.9,2185,0.56,1259,9,11331,FALSE,TRUE,0.56,1259,9,11331,FALSE,11331
2S,Southwind Airlines,AYT,BEY,A321,narrowbody,EU1,ME1,14,217811.67268,15558,544,0.91,215,13,2795,FALSE,FALSE,0.91,215,13,2795,FALSE,2795
2S,Southwind Airlines,AYT,BSL,A321,narrowbody,EU1,EU1,7,343477.16613,49068.2,2242,0.91,215,6,1290,FALSE,FALSE,0.91,215,6,1290,FALSE,1290
2S,Southwind Airlines,AYT,BSL,A332,widebody,EU1,EU1,3,266487.3327,88829.1,2242,0.56,1259,2,2518,FALSE,TRUE,0.56,1259,2,2518,FALSE,2518
2S,Southwind Airlines,AYT,BSL,B773,widebody,EU1,EU1,1,113930.4516,113930.5,2242,0.56,1259,1,1259,FALSE,TRUE,0.56,1259,1,1259,FALSE,1259
2S,Southwind Airlines,AYT,BSL,B77W,widebody,EU1,EU1,1,127959.8104,127959.8,2242,0.56,1259,1,1259,FALSE,TRUE,0.56,1259,1,1259,FALSE,1259
2S,Southwind Airlines,AYT,CGN,B738,narrowbody,EU1,EU1,4,175628.56144,43907.1,2432,0.91,215,4,860,FALSE,FALSE,0.91,215,4,860,FALSE,860
2S,Southwind Airlines,AYT,DRS,B738,narrowbody,EU1,EU1,4,152761.51136,38190.4,2078,0.91,215,4,860,FALSE,FALSE,0.91,215,4,860,FALSE,860
2S,Southwind Airlines,AYT,DUS,A321,narrowbody,EU1,EU1,10,535670.2565,53567,2478,0.91,215,9,1935,FALSE,FALSE,0.91,215,9,1935,FALSE,1935
2S,Southwind Airlines,AYT,DUS,A332,widebody,EU1,EU1,13,1260900.98797,96992.4,2478,0.56,1259,7,8813,FALSE,TRUE,0.56,1259,7,8813,FALSE,8813
2S,Southwind Airlines,AYT,DUS,B738,narrowbody,EU1,EU1,22,982299.923,44650,2478,0.91,215,20,4300,FALSE,FALSE,0.91,215,20,4300,FALSE,4300
2S,Southwind Airlines,AYT,DUS,B773,widebody,EU1,EU1,2,249449.0662,124724.5,2478,0.56,1259,1,1259,FALSE,TRUE,0.56,1259,1,1259,FALSE,1259
2S,Southwind Airlines,AYT,DUS,B77W,widebody,EU1,EU1,139,19466840.2734,140049.2,2478,0.56,1259,78,98202,FALSE,TRUE,0.56,1259,78,98202,FALSE,98202
2S,Southwind Airlines,AYT,FRA,B738,narrowbody,EU1,EU1,8,333816.15248,41727,2297,0.91,215,7,1505,FALSE,FALSE,0.91,215,7,1505,FALSE,1505
2S,Southwind Airlines,AYT,GOJ,A321,narrowbody,EU1,EU2,2,102558.9404,51279.5,2358,0.91,215,2,430,FALSE,FALSE,0.91,215,2,430,FALSE,430
2S,Southwind Airlines,AYT,GOJ,B738,narrowbody,EU1,EU2,3,128136.33273,42712.1,2358,0.91,215,3,645,FALSE,FALSE,0.91,215,3,645,FALSE,645
2S,Southwind Airlines,AYT,GOJ,B773,widebody,EU1,EU2,7,834652.1196999999,119236,2358,0.56,1259,4,5036,FALSE,TRUE,0.56,1259,4,5036,FALSE,5036
2S,Southwind Airlines,AYT,HAJ,A321,narrowbody,EU1,EU1,47,2434325.99799,51794.2,2385,0.91,215,43,9245,FALSE,FALSE,0.91,215,43,9245,FALSE,9245
2S,Southwind Airlines,AYT,HAJ,A332,widebody,EU1,EU1,1,93775.50077,93775.5,2385,0.56,1259,1,1259,FALSE,TRUE,0.56,1259,1,1259,FALSE,1259
2S,Southwind Airlines,AYT,HAJ,B738,narrowbody,EU1,EU1,6,258888.81102,43148.1,2385,0.91,215,5,1075,FALSE,FALSE,0.91,215,5,1075,FALSE,1075
2S,Southwind Airlines,AYT,HAM,A321,narrowbody,EU1,EU1,27,1433442.1932,53090.5,2453,0.91,215,25,5375,FALSE,FALSE,0.91,215,25,5375,FALSE,5375
2S,Southwind Airlines,AYT,HAM,A332,widebody,EU1,EU1,17,1634169.71374,96127.6,2453,0.56,1259,10,12590,FALSE,TRUE,0.56,1259,10,12590,FALSE,12590
2S,Southwind Airlines,AYT,HAM,B738,narrowbody,EU1,EU1,4,176985.08136,44246.3,2453,0.91,215,4,860,FALSE,FALSE,0.91,215,4,860,FALSE,860
2S,Southwind Airlines,AYT,HER,A321,narrowbody,EU1,EU1,1,15351.44693,15351.4,533,0.91,215,1,215,FALSE,FALSE,0.91,215,1,215,FALSE,215
2S,Southwind Airlines,AYT,HER,A332,widebody,EU1,EU1,5,145632.01325,29126.4,533,0.56,1259,3,3777,FALSE,TRUE,0.56,1259,3,3777,FALSE,3777
2S,Southwind Airlines,AYT,HER,B738,narrowbody,EU1,EU1,39,512861.9476500001,13150.3,533,0.91,215,35,7525,FALSE,FALSE,0.91,215,35,7525,FALSE,7525
2S,Southwind Airlines,AYT,KGD,A321,narrowbody,EU1,EU2,90,4249715.334299999,47219.1,2145,0.91,215,82,17630,FALSE,FALSE,0.91,215,82,17630,FALSE,17630
2S,Southwind Airlines,AYT,KGD,B738,narrowbody,EU1,EU2,20,785447.2793999999,39272.4,2145,0.91,215,18,3870,FALSE,FALSE,0.91,215,18,3870,FALSE,3870
2S,Southwind Airlines,AYT,KJA,A321,narrowbody,EU1,AS4,17,633141.56057,37243.6,4976,0.91,215,15,3225,FALSE,FALSE,0.91,215,15,3225,FALSE,3225
2S,Southwind Airlines,AYT,KJA,A332,widebody,EU1,AS4,52,9792190.8916,188311.4,4976,0.56,1259,29,36511,FALSE,TRUE,0.56,1259,29,36511,FALSE,36511
2S,Southwind Airlines,AYT,KUF,A321,narrowbody,EU1,EU2,90,4639171.6494,51546.4,2372,0.91,215,82,17630,FALSE,FALSE,0.91,215,82,17630,FALSE,17630
2S,Southwind Airlines,AYT,KUF,B738,narrowbody,EU1,EU2,1,42938.19756,42938.2,2372,0.91,215,1,215,FALSE,FALSE,0.91,215,1,215,FALSE,215
2S,Southwind Airlines,AYT,KZN,A321,narrowbody,EU1,EU2,23,482059.54633,20959.1,2501,0.91,215,21,4515,FALSE,FALSE,0.91,215,21,4515,FALSE,4515
2S,Southwind Airlines,AYT,KZN,B773,widebody,EU1,EU2,2,251557.0576,125778.5,2501,0.56,1259,1,1259,FALSE,TRUE,0.56,1259,1,1259,FALSE,1259
2S,Southwind Airlines,AYT,LED,A321,narrowbody,EU1,EU2,20,424680.4482,21234,2546,0.91,215,18,3870,FALSE,FALSE,0.91,215,18,3870,FALSE,3870
2S,Southwind Airlines,AYT,LED,B773,widebody,EU1,EU2,67,8571181.252799999,127928.1,2546,0.56,1259,38,47842,FALSE,TRUE,0.56,1259,38,47842,FALSE,47842
2S,Southwind Airlines,AYT,LEJ,A321,narrowbody,EU1,EU1,5,239145.37025,47829.1,2177,0.91,215,5,1075,FALSE,FALSE,0.91,215,5,1075,FALSE,1075
2S,Southwind Airlines,AYT,LEJ,A332,widebody,EU1,EU1,59,5108264.36033,86580.8,2177,0.56,1259,33,41547,FALSE,TRUE,0.56,1259,33,41547,FALSE,41547
2S,Southwind Airlines,AYT,LEJ,B738,narrowbody,EU1,EU1,6,238734.80076,39789.1,2177,0.91,215,5,1075,FALSE,FALSE,0.91,215,5,1075,FALSE,1075
2S,Southwind Airlines,AYT,LEJ,B773,widebody,EU1,EU1,1,110957.5054,110957.5,2177,0.56,1259,1,1259,FALSE,TRUE,0.56,1259,1,1259,FALSE,1259
2S,Southwind Airlines,AYT,LEJ,B77W,widebody,EU1,EU1,1,124630.1028,124630.1,2177,0.56,1259,1,1259,FALSE,TRUE,0.56,1259,1,1259,FALSE,1259
2S,Southwind Airlines,AYT,MUC,A321,narrowbody,EU1,EU1,3,133364.78928,44454.9,2000,0.91,215,3,645,FALSE,FALSE,0.91,215,3,645,FALSE,645
2S,Southwind Airlines,AYT,MUC,A332,widebody,EU1,EU1,58,4666581.24166,80458.3,2000,0.56,1259,32,40288,FALSE,TRUE,0.56,1259,32,40288,FALSE,40288
2S,Southwind Airlines,AYT,MUC,B738,narrowbody,EU1,EU1,15,553961.2831499999,36930.8,2000,0.91,215,14,3010,FALSE,FALSE,0.91,215,14,3010,FALSE,3010
2S,Southwind Airlines,AYT,MUC,B773,widebody,EU1,EU1,3,308585.83290000004,102861.9,2000,0.56,1259,2,2518,FALSE,TRUE,0.56,1259,2,2518,FALSE,2518
2S,Southwind Airlines,AYT,MUC,B77W,widebody,EU1,EU1,2,231126.1052,115563.1,2000,0.56,1259,1,1259,FALSE,TRUE,0.56,1259,1,1259,FALSE,1259
2S,Southwind Airlines,AYT,NUE,A321,narrowbody,EU1,EU1,33,1538098.4678399998,46609,2113,0.91,215,30,6450,FALSE,FALSE,0.91,215,30,6450,FALSE,6450
2S,Southwind Airlines,AYT,NUE,A332,widebody,EU1,EU1,1,84366.98298,84367,2113,0.56,1259,1,1259,FALSE,TRUE,0.56,1259,1,1259,FALSE,1259
2S,Southwind Airlines,AYT,NUE,B738,narrowbody,EU1,EU1,21,813867.48408,38755.6,2113,0.91,215,19,4085,FALSE,FALSE,0.91,215,19,4085,FALSE,4085
2S,Southwind Airlines,AYT,OVB,A321,narrowbody,EU1,AS4,45,1482122.00385,32936,4355,0.91,215,41,8815,FALSE,FALSE,0.91,215,41,8815,FALSE,8815
2S,Southwind Airlines,AYT,OVB,A332,widebody,EU1,AS4,60,9950279.628,165838,4355,0.56,1259,34,42806,FALSE,TRUE,0.56,1259,34,42806,FALSE,42806
2S,Southwind Airlines,AYT,OVB,B738,narrowbody,EU1,AS4,28,2120157.5379600003,75719.9,4355,0.91,215,25,5375,FALSE,FALSE,0.91,215,25,5375,FALSE,5375
2S,Southwind Airlines,AYT,REN,A321,narrowbody,EU1,EU2,57,1209294.61272,21215.7,2543,0.91,215,52,11180,FALSE,FALSE,0.91,215,52,11180,FALSE,11180
2S,Southwind Airlines,AYT,REN,B738,narrowbody,EU1,EU2,12,548883.6024,45740.3,2543,0.91,215,11,2365,FALSE,FALSE,0.91,215,11,2365,FALSE,2365
2S,Southwind Airlines,AYT,SKP,A321,narrowbody,EU1,EU2,14,327638.78378,23402.8,967,0.91,215,13,2795,FALSE,FALSE,0.91,215,13,2795,FALSE,2795
2S,Southwind Airlines,AYT,STR,A321,narrowbody,EU1,EU1,13,623017.05518,47924.4,2182,0.91,215,12,2580,FALSE,FALSE,0.91,215,12,2580,FALSE,2580
2S,Southwind Airlines,AYT,STR,A332,widebody,EU1,EU1,43,3730409.21008,86753.7,2182,0.56,1259,24,30216,FALSE,TRUE,0.56,1259,24,30216,FALSE,30216
2S,Southwind Airlines,AYT,STR,B738,narrowbody,EU1,EU1,50,1993493.935,39869.9,2182,0.91,215,46,9890,FALSE,FALSE,0.91,215,46,9890,FALSE,9890
2S,Southwind Airlines,AYT,STR,B773,widebody,EU1,EU1,3,333558.5808,111186.2,2182,0.56,1259,2,2518,FALSE,TRUE,0.56,1259,2,2518,FALSE,2518
2S,Southwind Airlines,AYT,STR,B77W,widebody,EU1,EU1,1,124886.2341,124886.2,2182,0.56,1259,1,1259,FALSE,TRUE,0.56,1259,1,1259,FALSE,1259
2S,Southwind Airlines,AYT,SVO,A321,narrowbody,EU1,EU2,109,5213369.071450001,47829.1,2177,0.91,215,99,21285,FALSE,FALSE,0.91,215,99,21285,FALSE,21285
2S,Southwind Airlines,AYT,SVO,A332,widebody,EU1,EU2,29,2510841.80423,86580.8,2177,0.56,1259,16,20144,FALSE,TRUE,0.56,1259,16,20144,FALSE,20144
2S,Southwind Airlines,AYT,SVO,B738,narrowbody,EU1,EU2,4,159156.53384,39789.1,2177,0.91,215,4,860,FALSE,FALSE,0.91,215,4,860,FALSE,860
2S,Southwind Airlines,AYT,SVO,B773,widebody,EU1,EU2,165,18307988.391,110957.5,2177,0.56,1259,92,115828,FALSE,TRUE,0.56,1259,92,115828,FALSE,115828
2S,Southwind Airlines,AYT,SVX,A321,narrowbody,EU1,AS4,42,1043465.38884,24844.4,3127,0.91,215,38,8170,FALSE,FALSE,0.91,215,38,8170,FALSE,8170
2S,Southwind Airlines,AYT,SVX,B773,widebody,EU1,AS4,62,9636453.5462,155426.7,3127,0.56,1259,35,44065,FALSE,TRUE,0.56,1259,35,44065,FALSE,44065
2S,Southwind Airlines,AYT,TLV,A321,narrowbody,EU1,ME1,12,212380.50192,17698.4,658,0.91,215,11,2365,FALSE,FALSE,0.91,215,11,2365,FALSE,2365
2S,Southwind Airlines,AYT,TLV,A332,widebody,EU1,ME1,6,201068.51226,33511.4,658,0.56,1259,3,3777,FALSE,TRUE,0.56,1259,3,3777,FALSE,3777
2S,Southwind Airlines,AYT,TLV,B738,narrowbody,EU1,ME1,127,1917406.64905,15097.7,658,0.91,215,116,24940,FALSE,FALSE,0.91,215,116,24940,FALSE,24940
2S,Southwind Airlines,AYT,UFA,A321,narrowbody,EU1,EU2,159,3560766.9513,22394.8,2736,0.91,215,145,31175,FALSE,FALSE,0.91,215,145,31175,FALSE,31175
2S,Southwind Airlines,AYT,UFA,B738,narrowbody,EU1,EU2,28,1373102.20376,49039.4,2736,0.91,215,25,5375,FALSE,FALSE,0.91,215,25,5375,FALSE,5375
2S,Southwind Airlines,AYT,ZRH,A321,narrowbody,EU1,EU1,24,1142407.64424,47600.3,2165,0.91,215,22,4730,FALSE,FALSE,0.91,215,22,4730,FALSE,4730
2S,Southwind Airlines,AYT,ZRH,A332,widebody,EU1,EU1,22,1895644.7443999995,86165.7,2165,0.56,1259,12,15108,FALSE,TRUE,0.56,1259,12,15108,FALSE,15108
2S,Southwind Airlines,AYT,ZRH,B738,narrowbody,EU1,EU1,20,791906.8979999999,39595.3,2165,0.91,215,18,3870,FALSE,FALSE,0.91,215,18,3870,FALSE,3870
2S,Southwind Airlines,AYT,ZRH,B773,widebody,EU1,EU1,1,110408.6538,110408.7,2165,0.56,1259,1,1259,FALSE,TRUE,0.56,1259,1,1259,FALSE,1259
2S,Southwind Airlines,BER,AYT,A321,narrowbody,EU1,EU1,3,143944.73325,47981.6,2185,0.91,215,3,645,FALSE,FALSE,0.91,215,3,645,FALSE,645
2S,Southwind Airlines,BER,AYT,A332,widebody,EU1,EU1,41,3561156.39218,86857.5,2185,0.56,1259,23,28957,FALSE,TRUE,0.56,1259,23,28957,FALSE,28957
2S,Southwind Airlines,BER,AYT,B738,narrowbody,EU1,EU1,22,878203.16848,39918.3,2185,0.91,215,20,4300,FALSE,FALSE,0.91,215,20,4300,FALSE,4300
2S,Southwind Airlines,BER,AYT,B77W,widebody,EU1,EU1,16,2000638.6064,125039.9,2185,0.56,1259,9,11331,FALSE,TRUE,0.56,1259,9,11331,FALSE,11331
2S,Southwind Airlines,BSL,AYT,A321,narrowbody,EU1,EU1,7,343477.16613,49068.2,2242,0.91,215,6,1290,FALSE,FALSE,0.91,215,6,1290,FALSE,1290
2S,Southwind Airlines,BSL,AYT,A332,widebody,EU1,EU1,3,266487.3327,88829.1,2242,0.56,1259,2,2518,FALSE,TRUE,0.56,1259,2,2518,FALSE,2518
2S,Southwind Airlines,BSL,AYT,B773,widebody,EU1,EU1,1,113930.4516,113930.5,2242,0.56,1259,1,1259,FALSE,TRUE,0.56,1259,1,1259,FALSE,1259
2S,Southwind Airlines,BSL,AYT,B77W,widebody,EU1,EU1,1,127959.8104,127959.8,2242,0.56,1259,1,1259,FALSE,TRUE,0.56,1259,1,1259,FALSE,1259
2S,Southwind Airlines,CGN,AYT,B738,narrowbody,EU1,EU1,5,219535.7018,43907.1,2432,0.91,215,5,1075,FALSE,FALSE,0.91,215,5,1075,FALSE,1075
2S,Southwind Airlines,DRS,AYT,B738,narrowbody,EU1,EU1,4,152761.51136,38190.4,2078,0.91,215,4,860,FALSE,FALSE,0.91,215,4,860,FALSE,860
2S,Southwind Airlines,DUS,AYT,A321,narrowbody,EU1,EU1,10,535670.2565,53567,2478,0.91,215,9,1935,FALSE,FALSE,0.91,215,9,1935,FALSE,1935
2S,Southwind Airlines,DUS,AYT,A332,widebody,EU1,EU1,13,1260900.98797,96992.4,2478,0.56,1259,7,8813,FALSE,TRUE,0.56,1259,7,8813,FALSE,8813
2S,Southwind Airlines,DUS,AYT,B738,narrowbody,EU1,EU1,22,982299.923,44650,2478,0.91,215,20,4300,FALSE,FALSE,0.91,215,20,4300,FALSE,4300
2S,Southwind Airlines,DUS,AYT,B773,widebody,EU1,EU1,2,249449.0662,124724.5,2478,0.56,1259,1,1259,FALSE,TRUE,0.56,1259,1,1259,FALSE,1259
2S,Southwind Airlines,DUS,AYT,B77W,widebody,EU1,EU1,139,19466840.2734,140049.2,2478,0.56,1259,78,98202,FALSE,TRUE,0.56,1259,78,98202,FALSE,98202
2S,Southwind Airlines,FRA,AYT,B738,narrowbody,EU1,EU1,8,333816.15248,41727,2297,0.91,215,7,1505,FALSE,FALSE,0.91,215,7,1505,FALSE,1505
2S,Southwind Airlines,HAJ,AYT,A321,narrowbody,EU1,EU1,47,2434325.99799,51794.2,2385,0.91,215,43,9245,FALSE,FALSE,0.91,215,43,9245,FALSE,9245
2S,Southwind Airlines,HAJ,AYT,A332,widebody,EU1,EU1,1,93775.50077,93775.5,2385,0.56,1259,1,1259,FALSE,TRUE,0.56,1259,1,1259,FALSE,1259
2S,Southwind Airlines,HAJ,AYT,B738,narrowbody,EU1,EU1,6,258888.81102,43148.1,2385,0.91,215,5,1075,FALSE,FALSE,0.91,215,5,1075,FALSE,1075
2S,Southwind Airlines,HAM,AYT,A321,narrowbody,EU1,EU1,27,1433442.1932,53090.5,2453,0.91,215,25,5375,FALSE,FALSE,0.91,215,25,5375,FALSE,5375
2S,Southwind Airlines,HAM,AYT,A332,widebody,EU1,EU1,17,1634169.71374,96127.6,2453,0.56,1259,10,12590,FALSE,TRUE,0.56,1259,10,12590,FALSE,12590
2S,Southwind Airlines,HAM,AYT,B738,narrowbody,EU1,EU1,4,176985.08136,44246.3,2453,0.91,215,4,860,FALSE,FALSE,0.91,215,4,860,FALSE,860
2S,Southwind Airlines,HER,AYT,A321,narrowbody,EU1,EU1,1,15351.44693,15351.4,533,0.91,215,1,215,FALSE,FALSE,0.91,215,1,215,FALSE,215
2S,Southwind Airlines,HER,AYT,A332,widebody,EU1,EU1,5,145632.01325,29126.4,533,0.56,1259,3,3777,FALSE,TRUE,0.56,1259,3,3777,FALSE,3777
2S,Southwind Airlines,HER,AYT,B738,narrowbody,EU1,EU1,39,512861.9476500001,13150.3,533,0.91,215,35,7525,FALSE,FALSE,0.91,215,35,7525,FALSE,7525
2S,Southwind Airlines,LEJ,AYT,A321,narrowbody,EU1,EU1,5,239145.37025,47829.1,2177,0.91,215,5,1075,FALSE,FALSE,0.91,215,5,1075,FALSE,1075
2S,Southwind Airlines,LEJ,AYT,A332,widebody,EU1,EU1,59,5108264.36033,86580.8,2177,0.56,1259,33,41547,FALSE,TRUE,0.56,1259,33,41547,FALSE,41547
2S,Southwind Airlines,LEJ,AYT,B738,narrowbody,EU1,EU1,6,238734.80076,39789.1,2177,0.91,215,5,1075,FALSE,FALSE,0.91,215,5,1075,FALSE,1075
2S,Southwind Airlines,LEJ,AYT,B773,widebody,EU1,EU1,1,110957.5054,110957.5,2177,0.56,1259,1,1259,FALSE,TRUE,0.56,1259,1,1259,FALSE,1259
2S,Southwind Airlines,LEJ,AYT,B77W,widebody,EU1,EU1,1,124630.1028,124630.1,2177,0.56,1259,1,1259,FALSE,TRUE,0.56,1259,1,1259,FALSE,1259
2S,Southwind Airlines,MUC,AYT,A321,narrowbody,EU1,EU1,3,133364.78928,44454.9,2000,0.91,215,3,645,FALSE,FALSE,0.91,215,3,645,FALSE,645
2S,Southwind Airlines,MUC,AYT,A332,widebody,EU1,EU1,58,4666581.24166,80458.3,2000,0.56,1259,32,40288,FALSE,TRUE,0.56,1259,32,40288,FALSE,40288
2S,Southwind Airlines,MUC,AYT,B738,narrowbody,EU1,EU1,15,553961.2831499999,36930.8,2000,0.91,215,14,3010,FALSE,FALSE,0.91,215,14,3010,FALSE,3010
2S,Southwind Airlines,MUC,AYT,B773,widebody,EU1,EU1,3,308585.83290000004,102861.9,2000,0.56,1259,2,2518,FALSE,TRUE,0.56,1259,2,2518,FALSE,2518
2S,Southwind Airlines,MUC,AYT,B77W,widebody,EU1,EU1,2,231126.1052,115563.1,2000,0.56,1259,1,1259,FALSE,TRUE,0.56,1259,1,1259,FALSE,1259
2S,Southwind Airlines,NUE,AYT,A321,narrowbody,EU1,EU1,33,1538098.4678399998,46609,2113,0.91,215,30,6450,FALSE,FALSE,0.91,215,30,6450,FALSE,6450
2S,Southwind Airlines,NUE,AYT,A332,widebody,EU1,EU1,1,84366.98298,84367,2113,0.56,1259,1,1259,FALSE,TRUE,0.56,1259,1,1259,FALSE,1259
2S,Southwind Airlines,NUE,AYT,B738,narrowbody,EU1,EU1,21,813867.48408,38755.6,2113,0.91,215,19,4085,FALSE,FALSE,0.91,215,19,4085,FALSE,4085
2S,Southwind Airlines,STR,AYT,A321,narrowbody,EU1,EU1,13,623017.05518,47924.4,2182,0.91,215,12,2580,FALSE,FALSE,0.91,215,12,2580,FALSE,2580
2S,Southwind Airlines,STR,AYT,A332,widebody,EU1,EU1,43,3730409.21008,86753.7,2182,0.56,1259,24,30216,FALSE,TRUE,0.56,1259,24,30216,FALSE,30216
2S,Southwind Airlines,STR,AYT,B738,narrowbody,EU1,EU1,50,1993493.935,39869.9,2182,0.91,215,46,9890,FALSE,FALSE,0.91,215,46,9890,FALSE,9890
2S,Southwind Airlines,STR,AYT,B773,widebody,EU1,EU1,3,333558.5808,111186.2,2182,0.56,1259,2,2518,FALSE,TRUE,0.56,1259,2,2518,FALSE,2518
2S,Southwind Airlines,STR,AYT,B77W,widebody,EU1,EU1,1,124886.2341,124886.2,2182,0.56,1259,1,1259,FALSE,TRUE,0.56,1259,1,1259,FALSE,1259
2S,Southwind Airlines,TZX,BAH,A321,narrowbody,EU1,ME1,19,810523.75348,42659.1,1915,0.91,215,17,3655,FALSE,FALSE,0.91,215,17,3655,FALSE,3655
2S,Southwind Airlines,ZRH,AYT,A321,narrowbody,EU1,EU1,24,1142407.64424,47600.3,2165,0.91,215,22,4730,FALSE,FALSE,0.91,215,22,4730,FALSE,4730
2S,Southwind Airlines,ZRH,AYT,A332,widebody,EU1,EU1,22,1895644.7443999995,86165.7,2165,0.56,1259,12,15108,FALSE,TRUE,0.56,1259,12,15108,FALSE,15108
2S,Southwind Airlines,ZRH,AYT,B738,narrowbody,EU1,EU1,20,791906.8979999999,39595.3,2165,0.91,215,18,3870,FALSE,FALSE,0.91,215,18,3870,FALSE,3870
2S,Southwind Airlines,ZRH,AYT,B773,widebody,EU1,EU1,1,110408.6538,110408.7,2165,0.56,1259,1,1259,FALSE,TRUE,0.56,1259,1,1259,FALSE,1259
2W,"World 2 Fly, S.L",ATH,NLU,B772,widebody,EU1,LA2,2,311177.8836,155588.9,11259,0.56,1259,1,1259,FALSE,TRUE,0.56,1259,1,1259,TRUE,127
2W,"World 2 Fly, S.L",MAD,ATH,B772,widebody,EU1,EU1,2,202876.9164,101438.5,2375,0.56,1259,1,1259,FALSE,TRUE,0.56,1259,1,1259,FALSE,1259
2W,"World 2 Fly, S.L",MAD,AZS,A333,widebody,EU1,LA1,3,250111.16349,83370.4,6635,0.56,1259,2,2518,FALSE,TRUE,0.56,1259,2,2518,TRUE,190
2W,"World 2 Fly, S.L",MAD,AZS,B772,widebody,EU1,LA1,5,1396557.926,279311.6,6635,0.56,1259,3,3777,FALSE,TRUE,0.56,1259,3,3777,TRUE,317
2W,"World 2 Fly, S.L",MAD,CUN,A333,widebody,EU1,LA2,1,98262.89598,98262.9,7955,0.56,1259,1,1259,FALSE,TRUE,0.56,1259,1,1259,TRUE,63
2W,"World 2 Fly, S.L",MAD,CUN,B772,widebody,EU1,LA2,163,18301399.6565,112278.5,7955,0.56,1259,91,114569,FALSE,TRUE,0.56,1259,91,114569,TRUE,10343
2W,"World 2 Fly, S.L",MAD,HAV,A333,widebody,EU1,LA1,17,1568097.10302,92241,7456,0.56,1259,10,12590,FALSE,TRUE,0.56,1259,10,12590,TRUE,1079
